Sample Number (90 samples per second),fluxo (l/m),setPoint (l/m),duty (),Stability (),frequency ()
0,5.89,0.0,35.0,0.0,12.0
1,5.97,0.0,35.0,0.0,11.0
2,5.9,0.0,35.0,0.0,12.0
3,5.97,0.0,35.0,0.0,11.0
4,5.9,0.0,35.0,0.0,12.0
5,5.97,0.0,35.0,0.0,11.0
6,5.89,0.0,35.0,0.0,12.0
7,5.97,0.0,35.0,0.0,11.0
8,5.9,0.0,35.0,0.0,12.0
9,5.97,0.0,35.0,0.0,11.0
10,5.9,0.0,35.0,0.0,12.0
11,5.82,0.0,30.0,0.0,0.0
12,0.0,0.0,0.0,0.0,11.0
13,5.19,0.0,0.0,0.0,11.0
14,4.12,0.0,2.0,0.0,12.0
15,3.41,0.0,4.0,0.0,10.0
16,2.9,0.0,4.0,0.0,11.0
17,5.22,0.0,14.0,0.0,11.0
18,4.6,0.0,14.0,0.0,12.0
19,4.11,0.0,16.0,0.0,10.0
20,5.05,0.0,24.0,0.0,11.0
21,4.59,0.0,22.0,0.0,11.0
22,4.21,0.0,25.0,0.0,10.0
23,4.85,0.0,28.0,0.0,11.0
24,4.5,0.0,28.0,0.0,11.0
25,5.05,0.0,35.0,0.0,10.0
26,4.72,0.0,28.0,0.0,11.0
27,5.2,0.0,35.0,0.0,12.0
28,4.89,0.0,28.0,0.0,11.0
29,5.35,0.0,35.0,0.0,11.0
30,5.06,0.0,35.0,0.0,11.0
31,4.8,0.0,28.0,0.0,12.0
32,5.18,0.0,35.0,0.0,10.0
33,4.93,0.0,28.0,0.0,11.0
34,5.25,0.0,35.0,0.0,11.0
35,5.01,0.0,35.0,0.0,11.0
36,5.34,0.0,35.0,0.0,11.0
37,5.11,0.0,35.0,0.0,11.0
38,4.9,0.0,28.0,0.0,11.0
39,5.22,0.0,35.0,0.0,10.0
40,5.02,0.0,35.0,0.0,12.0
41,4.83,0.0,28.0,0.0,11.0
42,5.13,0.0,35.0,0.0,11.0
43,4.95,0.0,28.0,0.0,11.0
44,5.21,0.0,35.0,0.0,12.0
45,5.03,0.0,35.0,0.0,11.0
46,5.3,0.0,35.0,0.0,12.0
47,5.13,0.0,35.0,0.0,11.0
48,5.38,0.0,35.0,0.0,11.0
49,5.21,0.0,35.0,0.0,10.0
50,5.45,0.0,35.0,0.0,11.0
51,5.28,0.0,35.0,0.0,11.0
52,5.52,0.0,35.0,0.0,10.0
53,5.35,0.0,35.0,0.0,11.0
54,5.54,0.0,35.0,0.0,11.0
55,5.38,0.0,35.0,0.0,12.0
56,5.58,0.0,35.0,0.0,10.0
57,5.43,0.0,35.0,0.0,12.0
58,5.28,0.0,35.0,0.0,11.0
59,5.48,0.0,35.0,0.0,11.0
60,5.34,0.0,35.0,0.0,11.0
61,5.53,0.0,35.0,0.0,11.0
62,5.38,0.0,35.0,0.0,11.0
63,5.58,0.0,35.0,0.0,11.0
64,5.44,0.0,35.0,0.0,11.0
65,5.3,0.0,35.0,0.0,11.0
66,5.48,0.0,35.0,0.0,10.0
67,5.35,0.0,35.0,0.0,11.0
68,5.52,0.0,35.0,0.0,12.0
69,5.39,0.0,35.0,0.0,10.0
70,5.56,0.0,35.0,0.0,12.0
71,5.44,0.0,35.0,0.0,11.0
72,5.31,0.0,35.0,0.0,12.0
73,5.47,0.0,35.0,0.0,11.0
74,5.35,0.0,35.0,0.0,11.0
75,5.51,0.0,35.0,0.0,11.0
76,5.39,0.0,35.0,0.0,10.0
77,5.54,0.0,35.0,0.0,11.0
78,5.42,0.0,35.0,0.0,11.0
79,5.57,0.0,35.0,0.0,10.0
80,5.46,0.0,35.0,0.0,11.0
81,5.6,0.0,35.0,0.0,12.0
82,5.49,0.0,35.0,0.0,11.0
83,5.37,0.0,35.0,0.0,12.0
84,5.5,0.0,35.0,0.0,11.0
85,5.39,0.0,35.0,0.0,12.0
86,5.54,0.0,35.0,0.0,10.0
87,5.42,0.0,35.0,0.0,11.0
88,5.55,0.0,35.0,0.0,11.0
89,5.44,0.0,35.0,0.0,10.0
90,5.58,0.0,35.0,0.0,11.0
91,5.47,0.0,35.0,0.0,11.0
92,5.61,0.0,35.0,0.0,11.0
93,5.5,0.0,35.0,0.0,10.0
94,5.64,0.0,35.0,0.0,12.0
95,5.53,0.0,35.0,0.0,11.0
96,5.67,0.0,35.0,0.0,11.0
97,5.57,0.0,35.0,0.0,11.0
98,5.7,0.0,35.0,0.0,12.0
99,5.59,0.0,35.0,0.0,11.0
100,5.73,0.0,35.0,0.0,12.0
101,5.62,0.0,35.0,0.0,11.0
102,5.76,0.0,35.0,0.0,11.0
103,5.65,0.0,35.0,0.0,10.0
104,5.78,0.0,35.0,0.0,11.0
105,5.89,0.0,35.0,0.0,11.0
106,5.79,0.0,35.0,0.0,10.0
107,5.91,0.0,35.0,0.0,11.0
108,5.81,0.0,35.0,0.0,11.0
109,5.93,0.0,35.0,0.0,12.0
110,5.83,0.0,35.0,0.0,11.0
111,5.95,0.0,35.0,0.0,12.0
112,5.84,0.0,35.0,0.0,11.0
113,5.97,0.0,35.0,0.0,11.0
114,5.86,0.0,35.0,0.0,11.0
115,5.98,0.0,35.0,0.0,11.0
116,5.88,0.0,35.0,0.0,10.0
117,6.0,0.0,35.0,0.0,11.0
118,5.9,0.0,35.0,0.0,11.0
119,5.8,0.0,35.0,0.0,11.0
120,5.91,0.0,35.0,0.0,10.0
121,5.81,0.0,35.0,0.0,11.0
122,5.93,0.0,35.0,0.0,12.0
123,5.83,0.0,35.0,0.0,10.0
124,5.74,0.0,35.0,0.0,12.0
125,5.83,0.0,35.0,0.0,11.0
126,5.74,0.0,35.0,0.0,12.0
127,5.85,0.0,35.0,0.0,11.0
128,5.75,0.0,35.0,0.0,11.0
129,5.86,0.0,35.0,0.0,11.0
130,5.77,0.0,35.0,0.0,10.0
131,5.68,0.0,35.0,0.0,11.0
132,5.79,0.0,35.0,0.0,11.0
133,5.69,0.0,35.0,0.0,10.0
134,5.81,0.0,35.0,0.0,11.0
135,5.72,0.0,35.0,0.0,12.0
136,5.63,0.0,35.0,0.0,11.0
137,5.74,0.0,35.0,0.0,12.0
138,5.65,0.0,35.0,0.0,11.0
139,5.77,0.0,35.0,0.0,12.0
140,5.68,0.0,35.0,0.0,10.0
141,5.59,0.0,35.0,0.0,11.0
142,5.68,0.0,35.0,0.0,11.0
143,5.6,0.0,35.0,0.0,10.0
144,5.7,0.0,35.0,0.0,11.0
145,5.62,0.0,35.0,0.0,11.0
146,5.72,0.0,35.0,0.0,11.0
147,5.63,0.0,35.0,0.0,11.0
148,5.55,0.0,35.0,0.0,12.0
149,5.65,0.0,35.0,0.0,11.0
150,5.57,0.0,35.0,0.0,11.0
151,5.49,0.0,35.0,0.0,11.0
152,5.59,0.0,35.0,0.0,12.0
153,5.51,0.0,35.0,0.0,10.0
154,5.62,0.0,35.0,0.0,12.0
155,5.53,0.0,35.0,0.0,11.0
156,5.45,0.0,35.0,0.0,11.0
157,5.56,0.0,35.0,0.0,10.0
158,5.47,0.0,35.0,0.0,11.0
159,5.58,0.0,35.0,0.0,11.0
160,5.5,0.0,35.0,0.0,10.0
161,5.42,0.0,35.0,0.0,11.0
162,5.51,0.0,35.0,0.0,11.0
163,5.43,0.0,35.0,0.0,12.0
164,5.53,0.0,35.0,0.0,11.0
165,5.45,0.0,35.0,0.0,12.0
166,5.37,0.0,35.0,0.0,11.0
167,5.48,0.0,35.0,0.0,11.0
168,5.4,0.0,35.0,0.0,11.0
169,5.5,0.0,35.0,0.0,11.0
170,5.43,0.0,35.0,0.0,10.0
171,5.35,0.0,35.0,0.0,11.0
172,5.44,0.0,35.0,0.0,11.0
173,5.36,0.0,35.0,0.0,11.0
174,5.46,0.0,35.0,0.0,11.0
175,5.39,0.0,35.0,0.0,11.0
176,5.49,0.0,35.0,0.0,12.0
177,5.42,0.0,35.0,0.0,10.0
178,5.34,0.0,35.0,0.0,12.0
179,5.43,0.0,35.0,0.0,11.0
180,5.35,0.0,35.0,0.0,11.0
181,5.45,0.0,35.0,0.0,11.0
182,5.38,0.0,35.0,0.0,12.0
183,5.48,0.0,35.0,0.0,11.0
184,5.4,0.0,35.0,0.0,10.0
185,5.49,0.0,35.0,0.0,11.0
186,5.41,0.0,35.0,0.0,11.0
187,5.51,0.0,35.0,0.0,10.0
188,5.43,0.0,35.0,0.0,11.0
189,5.53,0.0,35.0,0.0,12.0
190,5.45,0.0,35.0,0.0,11.0
191,5.56,0.0,35.0,0.0,12.0
192,5.48,0.0,35.0,0.0,11.0
193,5.58,0.0,35.0,0.0,12.0
194,5.51,0.0,35.0,0.0,10.0
195,5.61,0.0,35.0,0.0,12.0
196,5.53,0.0,35.0,0.0,11.0
197,5.64,0.0,35.0,0.0,10.0
198,5.56,0.0,35.0,0.0,11.0
199,5.65,0.0,35.0,0.0,11.0
200,5.58,0.0,35.0,0.0,11.0
201,5.68,0.0,35.0,0.0,11.0
202,5.6,0.0,35.0,0.0,11.0
203,5.7,0.0,35.0,0.0,11.0
204,5.62,0.0,35.0,0.0,11.0
205,5.55,0.0,35.0,0.0,11.0
206,5.64,0.0,35.0,0.0,12.0
207,5.56,1.0,28.0,0.0,10.0
208,5.66,2.0,21.0,0.0,12.0
209,5.59,2.0,21.0,0.0,11.0
210,5.69,3.0,14.0,0.0,11.0
211,5.61,4.0,7.0,0.0,11.0
212,5.71,4.0,7.0,0.0,11.0
213,5.81,5.0,0.0,0.0,11.0
214,5.73,6.0,0.0,0.0,10.0
215,5.84,7.0,1.0,0.0,12.0
216,5.76,8.0,4.0,0.0,11.0
217,5.87,9.0,8.0,0.0,12.0
218,5.79,9.0,11.0,0.0,10.0
219,5.89,11.0,21.0,0.0,11.0
220,5.81,12.0,30.0,0.0,11.0
221,5.9,13.0,39.0,0.0,10.0
222,5.82,13.0,45.0,0.0,11.0
223,5.9,15.0,63.0,0.0,11.0
224,5.82,16.0,78.0,0.0,10.0
225,5.91,17.0,85.0,0.0,11.0
226,5.83,18.0,92.0,0.0,11.0
227,5.92,19.0,99.0,0.0,10.0
228,5.84,20.0,106.0,0.0,11.0
229,5.91,21.0,113.0,0.0,11.0
230,5.98,22.0,120.0,0.0,11.0
231,5.9,23.0,127.0,0.0,11.0
232,5.97,24.0,135.0,0.0,11.0
233,5.89,25.0,142.0,0.0,11.0
234,5.96,26.0,149.0,0.0,11.0
235,5.88,27.0,156.0,0.0,11.0
236,5.95,28.0,163.0,0.0,11.0
237,5.87,28.0,163.0,0.0,11.0
238,5.94,29.0,170.0,0.0,11.0
239,5.86,30.0,177.0,0.0,11.0
240,5.93,30.0,177.0,0.0,11.0
241,6.0,31.0,184.0,0.0,12.0
242,5.92,31.0,184.0,0.0,11.0
243,6.0,32.0,191.0,0.0,12.0
244,5.92,32.0,191.0,0.0,11.0
245,5.84,32.0,191.0,0.0,12.0
246,5.91,33.0,198.0,0.0,11.0
247,5.84,33.0,198.0,0.0,12.0
248,5.91,34.0,205.0,0.0,11.0
249,5.83,34.0,205.0,0.0,11.0
250,5.89,34.0,205.0,0.0,11.0
251,5.82,34.0,205.0,0.0,12.0
252,5.89,35.0,212.0,0.0,10.0
253,5.81,35.0,212.0,0.0,12.0
254,5.88,35.0,212.0,0.0,11.0
255,5.81,36.0,220.0,0.0,11.0
256,5.88,36.0,220.0,0.0,11.0
257,5.8,36.0,220.0,0.0,12.0
258,5.87,36.0,220.0,0.0,10.0
259,5.8,36.0,220.0,0.0,12.0
260,5.86,36.0,220.0,0.0,11.0
261,5.78,36.0,220.0,0.0,11.0
262,5.85,36.0,220.0,0.0,11.0
263,5.78,36.0,220.0,0.0,11.0
264,5.85,36.0,220.0,0.0,10.0
265,5.78,36.0,220.0,0.0,11.0
266,5.85,36.0,220.0,0.0,11.0
267,5.78,35.0,212.0,0.0,10.0
268,5.7,36.0,220.0,0.0,11.0
269,5.77,36.0,220.0,0.0,11.0
270,5.7,36.0,220.0,0.0,10.0
271,5.76,36.0,220.0,0.0,11.0
272,5.69,36.0,220.0,0.0,11.0
273,5.76,36.0,220.0,0.0,10.0
274,5.69,36.0,220.0,0.0,11.0
275,5.75,36.0,220.0,0.0,11.0
276,5.68,36.0,220.0,0.0,10.0
277,5.61,36.0,220.0,0.0,11.0
278,5.68,36.0,220.0,0.0,11.0
279,5.61,36.0,220.0,0.0,10.0
280,5.69,36.0,220.0,0.0,11.0
281,5.62,36.0,220.0,0.0,11.0
282,5.55,36.0,220.0,0.0,10.0
283,5.62,36.0,220.0,0.0,11.0
284,5.55,36.0,220.0,0.0,12.0
285,5.62,36.0,220.0,0.0,10.0
286,5.55,36.0,220.0,0.0,12.0
287,5.61,36.0,220.0,0.0,11.0
288,5.55,36.0,220.0,0.0,12.0
289,5.62,36.0,220.0,0.0,11.0
290,5.55,36.0,220.0,0.0,12.0
291,5.62,36.0,220.0,0.0,11.0
292,5.55,36.0,220.0,0.0,12.0
293,5.61,36.0,220.0,0.0,11.0
294,5.54,36.0,220.0,0.0,12.0
295,5.61,36.0,220.0,0.0,11.0
296,5.54,36.0,220.0,0.0,12.0
297,5.61,36.0,220.0,0.0,11.0
298,5.55,36.0,220.0,0.0,12.0
299,5.61,36.0,220.0,0.0,11.0
300,5.54,36.0,220.0,0.0,12.0
301,5.61,36.0,220.0,0.0,11.0
302,5.54,36.0,220.0,0.0,12.0
303,5.61,36.0,220.0,0.0,11.0
304,5.68,36.0,220.0,0.0,11.0
305,5.62,36.0,220.0,0.0,11.0
306,5.68,36.0,220.0,0.0,11.0
307,5.62,36.0,220.0,0.0,11.0
308,5.68,36.0,220.0,0.0,11.0
309,5.61,36.0,220.0,0.0,11.0
310,5.68,36.0,220.0,0.0,10.0
311,5.74,36.0,220.0,0.0,11.0
312,5.67,36.0,220.0,0.0,11.0
313,5.75,36.0,220.0,0.0,10.0
314,5.68,36.0,220.0,0.0,11.0
315,5.75,36.0,220.0,0.0,11.0
316,5.68,36.0,220.0,0.0,10.0
317,5.75,36.0,220.0,0.0,11.0
318,5.81,36.0,220.0,0.0,11.0
319,5.74,36.0,220.0,0.0,10.0
320,5.81,36.0,220.0,0.0,11.0
321,5.74,36.0,220.0,0.0,11.0
322,5.81,36.0,220.0,0.0,10.0
323,5.74,36.0,220.0,0.0,11.0
324,5.8,36.0,220.0,0.0,11.0
325,5.87,36.0,220.0,0.0,10.0
326,5.8,36.0,220.0,0.0,11.0
327,5.86,36.0,220.0,0.0,12.0
328,5.79,36.0,220.0,0.0,10.0
329,5.86,36.0,220.0,0.0,12.0
330,5.79,36.0,220.0,0.0,11.0
331,5.86,36.0,220.0,0.0,11.0
332,5.8,36.0,220.0,0.0,11.0
333,5.86,36.0,220.0,0.0,12.0
334,5.79,36.0,220.0,0.0,10.0
335,5.86,36.0,220.0,0.0,12.0
336,5.92,36.0,220.0,0.0,11.0
337,5.85,36.0,220.0,0.0,11.0
338,5.91,36.0,220.0,0.0,11.0
339,5.84,36.0,220.0,0.0,12.0
340,5.91,36.0,220.0,0.0,10.0
341,5.97,36.0,220.0,0.0,12.0
342,5.9,36.0,220.0,0.0,11.0
343,5.97,36.0,220.0,0.0,11.0
344,5.9,36.0,220.0,0.0,11.0
345,5.97,36.0,220.0,0.0,12.0
346,5.9,36.0,220.0,0.0,10.0
347,5.96,36.0,220.0,0.0,11.0
348,6.02,36.0,213.0,0.0,11.0
349,5.95,36.0,220.0,0.0,10.0
350,6.02,36.0,213.0,0.0,11.0
351,5.95,36.0,220.0,0.0,11.0
352,6.02,36.0,213.0,0.0,11.0
353,5.95,36.0,220.0,0.0,11.0
354,6.01,36.0,213.0,0.0,11.0
355,5.94,36.0,220.0,0.0,11.0
356,6.01,36.0,213.0,0.0,11.0
357,5.93,36.0,220.0,0.0,11.0
358,6.0,36.0,213.0,0.0,11.0
359,5.93,36.0,220.0,0.0,11.0
360,5.99,36.0,220.0,0.0,11.0
361,5.92,36.0,220.0,0.0,11.0
362,5.99,36.0,220.0,0.0,11.0
363,5.92,36.0,220.0,0.0,11.0
364,5.85,36.0,220.0,0.0,11.0
365,5.92,36.0,220.0,0.0,11.0
366,5.85,36.0,220.0,0.0,11.0
367,5.91,36.0,220.0,0.0,11.0
368,5.84,36.0,220.0,0.0,12.0
369,5.77,36.0,220.0,0.0,11.0
370,5.84,36.0,220.0,0.0,12.0
371,5.78,36.0,220.0,0.0,11.0
372,5.84,36.0,220.0,0.0,12.0
373,5.77,36.0,220.0,0.0,11.0
374,5.84,36.0,220.0,0.0,11.0
375,5.77,36.0,220.0,0.0,11.0
376,5.84,36.0,220.0,0.0,12.0
377,5.77,36.0,220.0,0.0,10.0
378,5.71,36.0,220.0,0.0,12.0
379,5.77,36.0,220.0,0.0,11.0
380,5.7,36.0,220.0,0.0,11.0
381,5.76,36.0,220.0,0.0,11.0
382,5.7,36.0,220.0,0.0,12.0
383,5.76,36.0,220.0,0.0,10.0
384,5.69,36.0,220.0,0.0,12.0
385,5.76,36.0,220.0,0.0,11.0
386,5.69,36.0,220.0,0.0,11.0
387,5.76,36.0,220.0,0.0,11.0
388,5.69,36.0,220.0,0.0,12.0
389,5.75,36.0,220.0,0.0,10.0
390,5.69,36.0,220.0,0.0,11.0
391,5.75,36.0,220.0,0.0,11.0
392,5.68,36.0,220.0,0.0,10.0
393,5.75,36.0,220.0,0.0,11.0
394,5.68,36.0,220.0,0.0,11.0
395,5.75,36.0,220.0,0.0,10.0
396,5.69,36.0,220.0,0.0,11.0
397,5.75,36.0,220.0,0.0,11.0
398,5.68,36.0,220.0,0.0,10.0
399,5.75,36.0,220.0,0.0,11.0
400,5.69,36.0,220.0,0.0,11.0
401,5.76,36.0,220.0,0.0,10.0
402,5.69,36.0,220.0,0.0,11.0
403,5.76,36.0,220.0,0.0,11.0
404,5.69,36.0,220.0,0.0,10.0
405,5.76,36.0,220.0,0.0,11.0
406,5.69,36.0,220.0,0.0,11.0
407,5.76,36.0,220.0,0.0,10.0
408,5.7,36.0,220.0,0.0,11.0
409,5.76,36.0,220.0,0.0,12.0
410,5.82,36.0,220.0,0.0,10.0
411,5.76,36.0,220.0,0.0,12.0
412,5.81,36.0,220.0,0.0,11.0
413,5.75,36.0,220.0,0.0,11.0
414,5.81,36.0,220.0,0.0,11.0
415,5.74,36.0,220.0,0.0,12.0
416,5.81,36.0,220.0,0.0,11.0
417,5.74,36.0,220.0,0.0,12.0
418,5.8,36.0,220.0,0.0,11.0
419,5.73,36.0,220.0,0.0,12.0
420,5.79,36.0,220.0,0.0,11.0
421,5.73,36.0,220.0,0.0,12.0
422,5.66,36.0,220.0,0.0,11.0
423,5.73,36.0,220.0,0.0,12.0
424,5.67,36.0,220.0,0.0,11.0
425,5.74,36.0,220.0,0.0,12.0
426,5.67,36.0,220.0,0.0,11.0
427,5.73,36.0,220.0,0.0,12.0
428,5.67,36.0,220.0,0.0,11.0
429,5.74,36.0,220.0,0.0,12.0
430,5.67,36.0,220.0,0.0,11.0
431,5.74,36.0,220.0,0.0,12.0
432,5.68,36.0,220.0,0.0,11.0
433,5.73,36.0,220.0,0.0,11.0
434,5.67,36.0,220.0,0.0,11.0
435,5.73,36.0,220.0,0.0,11.0
436,5.67,36.0,220.0,0.0,11.0
437,5.73,36.0,220.0,0.0,11.0
438,5.67,36.0,220.0,0.0,10.0
439,5.72,36.0,220.0,0.0,11.0
440,5.66,36.0,220.0,0.0,11.0
441,5.72,36.0,220.0,0.0,10.0
442,5.66,36.0,220.0,0.0,11.0
443,5.72,36.0,220.0,0.0,11.0
444,5.66,36.0,220.0,0.0,10.0
445,5.59,36.0,220.0,0.0,11.0
446,5.66,36.0,220.0,0.0,11.0
447,5.6,36.0,220.0,0.0,10.0
448,5.67,36.0,220.0,0.0,11.0
449,5.73,36.0,220.0,0.0,11.0
450,5.67,36.0,220.0,0.0,10.0
451,5.73,36.0,220.0,0.0,11.0
452,5.66,36.0,220.0,0.0,12.0
453,5.73,36.0,220.0,0.0,10.0
454,5.66,36.0,220.0,0.0,12.0
455,5.72,36.0,220.0,0.0,11.0
456,5.65,36.0,220.0,0.0,11.0
457,5.72,36.0,220.0,0.0,11.0
458,5.65,36.0,220.0,0.0,12.0
459,5.72,36.0,220.0,0.0,10.0
460,5.65,36.0,220.0,0.0,12.0
461,5.71,36.0,220.0,0.0,11.0
462,5.65,36.0,220.0,0.0,11.0
463,5.71,36.0,220.0,0.0,11.0
464,5.77,36.0,220.0,0.0,12.0
465,5.71,36.0,220.0,0.0,10.0
466,5.78,36.0,220.0,0.0,12.0
467,5.71,36.0,220.0,0.0,11.0
468,5.78,36.0,220.0,0.0,11.0
469,5.84,36.0,220.0,0.0,11.0
470,5.77,36.0,220.0,0.0,12.0
471,5.84,36.0,220.0,0.0,10.0
472,5.77,36.0,220.0,0.0,12.0
473,5.83,36.0,220.0,0.0,11.0
474,5.89,36.0,220.0,0.0,10.0
475,5.82,36.0,220.0,0.0,11.0
476,5.76,36.0,220.0,0.0,11.0
477,5.82,36.0,220.0,0.0,10.0
478,5.76,36.0,220.0,0.0,11.0
479,5.82,36.0,220.0,0.0,11.0
480,5.75,36.0,220.0,0.0,11.0
481,5.82,36.0,220.0,0.0,11.0
482,5.76,36.0,220.0,0.0,11.0
483,5.82,36.0,220.0,0.0,11.0
484,5.76,36.0,220.0,0.0,11.0
485,5.82,36.0,220.0,0.0,11.0
486,5.75,36.0,220.0,0.0,11.0
487,5.69,36.0,220.0,0.0,11.0
488,5.75,36.0,220.0,0.0,11.0
489,5.68,36.0,220.0,0.0,11.0
490,5.74,36.0,220.0,0.0,11.0
491,5.68,36.0,220.0,0.0,11.0
492,5.74,36.0,220.0,0.0,11.0
493,5.68,36.0,220.0,0.0,11.0
494,5.73,36.0,220.0,0.0,11.0
495,5.67,36.0,220.0,0.0,12.0
496,5.73,36.0,220.0,0.0,11.0
497,5.67,36.0,220.0,0.0,12.0
498,5.73,36.0,220.0,0.0,11.0
499,5.67,36.0,220.0,0.0,12.0
500,5.72,36.0,220.0,0.0,11.0
501,5.66,36.0,220.0,0.0,12.0
502,5.72,36.0,220.0,0.0,10.0
503,5.66,36.0,220.0,0.0,12.0
504,5.59,36.0,220.0,0.0,11.0
505,5.66,36.0,220.0,0.0,11.0
506,5.6,36.0,220.0,0.0,11.0
507,5.67,36.0,220.0,0.0,12.0
508,5.6,36.0,220.0,0.0,10.0
509,5.67,36.0,220.0,0.0,12.0
510,5.6,36.0,220.0,0.0,11.0
511,5.67,36.0,220.0,0.0,11.0
512,5.61,36.0,220.0,0.0,11.0
513,5.68,36.0,220.0,0.0,12.0
514,5.61,36.0,220.0,0.0,10.0
515,5.68,36.0,220.0,0.0,11.0
516,5.62,36.0,220.0,0.0,11.0
517,5.68,36.0,220.0,0.0,10.0
518,5.62,36.0,220.0,0.0,11.0
519,5.68,36.0,220.0,0.0,11.0
520,5.61,36.0,220.0,0.0,10.0
521,5.68,36.0,220.0,0.0,11.0
522,5.61,36.0,220.0,0.0,11.0
523,5.68,36.0,220.0,0.0,10.0
524,5.61,36.0,220.0,0.0,11.0
525,5.67,36.0,220.0,0.0,11.0
526,5.61,36.0,220.0,0.0,10.0
527,5.67,36.0,220.0,0.0,11.0
528,5.73,36.0,220.0,0.0,11.0
529,5.67,36.0,220.0,0.0,10.0
530,5.74,36.0,220.0,0.0,11.0
531,5.67,36.0,220.0,0.0,11.0
532,5.74,36.0,220.0,0.0,10.0
533,5.68,36.0,220.0,0.0,11.0
534,5.74,36.0,220.0,0.0,11.0
535,5.8,36.0,220.0,0.0,10.0
536,5.74,36.0,220.0,0.0,11.0
537,5.79,36.0,220.0,0.0,11.0
538,5.73,36.0,220.0,0.0,11.0
539,5.79,36.0,220.0,0.0,11.0
540,5.85,36.0,220.0,0.0,12.0
541,5.78,36.0,220.0,0.0,10.0
542,5.85,36.0,220.0,0.0,12.0
543,5.79,36.0,220.0,0.0,11.0
544,5.85,36.0,220.0,0.0,12.0
545,5.91,36.0,220.0,0.0,11.0
546,5.85,36.0,220.0,0.0,12.0
547,5.78,36.0,220.0,0.0,11.0
548,5.85,36.0,220.0,0.0,12.0
549,5.9,36.0,220.0,0.0,11.0
550,5.84,36.0,220.0,0.0,12.0
551,5.77,36.0,220.0,0.0,11.0
552,5.83,36.0,220.0,0.0,12.0
553,5.77,36.0,220.0,0.0,11.0
554,5.84,36.0,220.0,0.0,12.0
555,5.77,36.0,220.0,0.0,11.0
556,5.84,36.0,220.0,0.0,12.0
557,5.9,36.0,220.0,0.0,11.0
558,5.83,36.0,220.0,0.0,11.0
559,5.9,36.0,220.0,0.0,11.0
560,5.83,36.0,220.0,0.0,11.0
561,5.77,36.0,220.0,0.0,11.0
562,5.83,36.0,220.0,0.0,11.0
563,5.76,36.0,220.0,0.0,11.0
564,5.82,36.0,220.0,0.0,11.0
565,5.75,36.0,220.0,0.0,11.0
566,5.81,36.0,220.0,0.0,11.0
567,5.75,36.0,220.0,0.0,11.0
568,5.81,36.0,220.0,0.0,11.0
569,5.75,36.0,220.0,0.0,10.0
570,5.8,36.0,220.0,0.0,11.0
571,5.74,36.0,220.0,0.0,11.0
572,5.8,36.0,220.0,0.0,10.0
573,5.73,36.0,220.0,0.0,11.0
574,5.8,36.0,220.0,0.0,11.0
575,5.73,36.0,220.0,0.0,10.0
576,5.79,36.0,220.0,0.0,11.0
577,5.73,36.0,220.0,0.0,11.0
578,5.79,36.0,220.0,0.0,10.0
579,5.72,36.0,220.0,0.0,12.0
580,5.78,36.0,220.0,0.0,11.0
581,5.72,36.0,220.0,0.0,11.0
582,5.78,36.0,220.0,0.0,11.0
583,5.71,36.0,220.0,0.0,12.0
584,5.78,36.0,220.0,0.0,10.0
585,5.71,36.0,220.0,0.0,12.0
586,5.77,36.0,220.0,0.0,11.0
587,5.83,36.0,220.0,0.0,11.0
588,5.77,36.0,220.0,0.0,11.0
589,5.83,36.0,220.0,0.0,12.0
590,5.77,36.0,220.0,0.0,10.0
591,5.83,36.0,220.0,0.0,12.0
592,5.77,36.0,220.0,0.0,11.0
593,5.83,36.0,220.0,0.0,11.0
594,5.77,36.0,220.0,0.0,11.0
595,5.83,36.0,220.0,0.0,12.0
596,5.76,36.0,220.0,0.0,10.0
597,5.83,36.0,220.0,0.0,12.0
598,5.77,36.0,220.0,0.0,11.0
599,5.83,36.0,220.0,0.0,10.0
600,5.77,36.0,220.0,0.0,11.0
601,5.82,36.0,220.0,0.0,11.0
602,5.89,36.0,220.0,0.0,10.0
603,5.82,36.0,220.0,0.0,11.0
604,5.89,36.0,220.0,0.0,11.0
605,5.82,36.0,220.0,0.0,10.0
606,5.89,36.0,220.0,0.0,11.0
607,5.82,36.0,220.0,0.0,11.0
608,5.89,36.0,220.0,0.0,11.0
609,5.82,36.0,220.0,0.0,11.0
610,5.88,36.0,220.0,0.0,11.0
611,5.82,36.0,220.0,0.0,11.0
612,5.88,36.0,220.0,0.0,11.0
613,5.82,36.0,220.0,0.0,11.0
614,5.88,36.0,220.0,0.0,11.0
615,5.82,36.0,220.0,0.0,11.0
616,5.88,36.0,220.0,0.0,11.0
617,5.81,36.0,220.0,0.0,11.0
618,5.88,36.0,220.0,0.0,11.0
619,5.81,36.0,220.0,0.0,11.0
620,5.88,36.0,220.0,0.0,12.0
621,5.81,36.0,220.0,0.0,11.0
622,5.87,36.0,220.0,0.0,12.0
623,5.81,36.0,220.0,0.0,11.0
624,5.87,36.0,220.0,0.0,12.0
625,5.81,36.0,220.0,0.0,11.0
626,5.88,36.0,220.0,0.0,12.0
627,5.81,36.0,220.0,0.0,11.0
628,5.87,36.0,220.0,0.0,12.0
629,5.8,36.0,220.0,0.0,11.0
630,5.87,36.0,220.0,0.0,12.0
631,5.81,36.0,220.0,0.0,11.0
632,5.87,36.0,220.0,0.0,12.0
633,5.81,36.0,220.0,0.0,10.0
